#Columns,16,,,,,,,,,,,,,,,
#Header_Rows,12,,,,,,,,,,,,,,,
Field_Name,Sample_Name,IGSN,Material,SpC_microsiemens_per_cm,pH,Temperature_degC,Respiration_Rate_mg_DO_per_L_per_H,Respiration_Rate_mg_DO_per_kg_per_H,Respiration_R_Squared,Respiration_R_Squared_Adj,Respiration_p_value,Total_Incubation_Time_Min,Number_Points_In_Respiration_Regression,Number_Points_Removed_Respiration_Regression,DO_Concentration_At_Incubation_Time_Zero,Methods_Deviation
N/A,EV_029_INC-D5,10.58052/IEWDR023Z,Sediment,659.7,7.2,20.1,-0.775,-2.311,0.975,0.975,0.0003,106,54,1,9.21,N/A
N/A,EV_029_INC-W1,10.58052/IEWDR023Z,Sediment,640.8,7.12,19.9,-130.2,-385.405,-9999,-9999,-9999,-9999,-9999,-9999,4.56,RATE_005
N/A,EV_029_INC-W2,10.58052/IEWDR023Z,Sediment,575,7.22,20.1,-143.1,-435.824,-9999,-9999,-9999,-9999,-9999,-9999,4.13,RATE_005
N/A,EV_029_INC-W3,10.58052/IEWDR023Z,Sediment,630.5,7.11,20.1,-162.9,-493.834,-9999,-9999,-9999,-9999,-9999,-9999,3.47,RATE_005
N/A,EV_029_INC-W4,10.58052/IEWDR023Z,Sediment,583.4,7.25,19.9,-165.3,-508.531,-9999,-9999,-9999,-9999,-9999,-9999,3.39,RATE_005
N/A,EV_029_INC-W5,10.58052/IEWDR023Z,Sediment,593.7,7.21,20.1,-206.4,-613.442,-9999,-9999,-9999,-9999,-9999,-9999,2.02,RATE_005
N/A,EV_030_INC-D1,10.58052/IEWDR0240,Sediment,514.3,6.94,20.1,-265.53,-2129.294,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005; INC_010
N/A,EV_030_INC-D2,10.58052/IEWDR0240,Sediment,526,6.96,19.9,-255.3,-2053.971,-9999,-9999,-9999,-9999,-9999,-9999,0.39,RATE_005
N/A,EV_030_INC-D3,10.58052/IEWDR0240,Sediment,507.1,6.95,20.1,-265.53,-2116.123,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_030_INC-D4,10.58052/IEWDR0240,Sediment,506.4,6.93,19.8,-265.53,-2130.063,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_030_INC-D5,10.58052/IEWDR0240,Sediment,521.3,6.94,19.7,-263.4,-2098.343,-9999,-9999,-9999,-9999,-9999,-9999,0.12,RATE_005
N/A,EV_030_INC-W1,10.58052/IEWDR0240,Sediment,528.8,6.85,20,-265.53,-2114.161,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_030_INC-W2,10.58052/IEWDR0240,Sediment,514.1,6.86,19.6,-265.53,-1929.724,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_030_INC-W3,10.58052/IEWDR0240,Sediment,502.8,7.53,19.8,-265.53,-2115.749,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_030_INC-W4,10.58052/IEWDR0240,Sediment,511,6.94,19.7,-265.53,-2136.292,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_030_INC-W5,10.58052/IEWDR0240,Sediment,496.3,7.08,19.8,-265.53,-2118.829,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_031_INC-D1,10.58052/IEWDR0241,Sediment,1244,7.15,19.9,-265.53,-1468.811,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_031_INC-D2,10.58052/IEWDR0241,Sediment,1261,7.15,20,-265.53,-1486.855,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_031_INC-D3,10.58052/IEWDR0241,Sediment,1251,7.11,19.6,-265.53,-1482.613,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_031_INC-D4,10.58052/IEWDR0241,Sediment,1268,7.22,19.9,-265.53,-1486.345,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_031_INC-D5,10.58052/IEWDR0241,Sediment,1271,7.16,20,-202.8,-1131.706,-9999,-9999,-9999,-9999,-9999,-9999,2.14,RATE_005
N/A,EV_031_INC-W1,10.58052/IEWDR0241,Sediment,1251,6.76,20.1,-259.2,-1427.534,-9999,-9999,-9999,-9999,-9999,-9999,0.26,RATE_005
N/A,EV_031_INC-W2,10.58052/IEWDR0241,Sediment,1242,7.05,20.1,-261,-1438.146,-9999,-9999,-9999,-9999,-9999,-9999,0.2,RATE_005
N/A,EV_031_INC-W3,10.58052/IEWDR0241,Sediment,1234,7.14,19.9,-265.53,-1476.939,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_031_INC-W4,10.58052/IEWDR0241,Sediment,1214,7.2,19.8,-265.53,-1470.911,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
N/A,EV_031_INC-W5,10.58052/IEWDR0241,Sediment,1213,7.01,20.1,-265.53,-1481.618,-9999,-9999,-9999,-9999,-9999,-9999,DO_Below_0.098_mg_per_L_LOD|Negative_Value_Raw_Not_Corrected|-9999_mg_per_L_Final_Corrected,DTL_003; RATE_005
#End_Data,,,,,,,,,,,,,,,,
